Price,price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2024-03-01,413.17864990234375,415.5,415.8699951171875,410.8800048828125,411.2699890136719,17800300
2024-03-04,412.6018981933594,414.9200134277344,417.3500061035156,412.32000732421875,413.44000244140625,17596000
2024-03-05,400.4004211425781,402.6499938964844,414.25,400.6400146484375,413.9599914550781,26919200
2024-03-06,399.8435363769531,402.0899963378906,405.1600036621094,398.3900146484375,402.9700012207031,22344100
2024-03-07,406.8542175292969,409.1400146484375,409.7799987792969,402.239990234375,406.1199951171875,18718500
2024-03-08,403.95050048828125,406.2200012207031,410.4200134277344,404.3299865722656,407.9599914550781,17971700
2024-03-11,402.2599792480469,404.5199890136719,405.67999267578125,401.260009765625,403.760009765625,16120800
2024-03-12,412.9598693847656,415.2799987792969,415.57000732421875,406.7900085449219,407.6199951171875,22457000
2024-03-13,412.7809143066406,415.1000061035156,418.17999267578125,411.45001220703125,418.1000061035156,17115900
2024-03-14,422.8443603515625,425.2200012207031,427.82000732421875,417.989990234375,420.239990234375,34157300
2024-03-15,414.0935363769531,416.4200134277344,422.6000061035156,412.7900085449219,419.2900085449219,45049800
2024-03-18,414.9884948730469,417.32000732421875,420.7300109863281,413.7799987792969,414.25,20106000
2024-03-19,419.0556335449219,421.4100036621094,421.6700134277344,415.54998779296875,417.8299865722656,19837900
2024-03-20,422.85430908203125,425.2300109863281,425.9599914550781,420.6600036621094,422.0,17860100
2024-03-21,426.9711608886719,429.3699951171875,430.82000732421875,427.1600036621094,429.8299865722656,21296200
2024-03-22,426.34466552734375,428.739990234375,429.8599853515625,426.07000732421875,429.70001220703125,17636500
2024-03-25,420.4975280761719,422.8599853515625,427.4100036621094,421.6099853515625,425.239990234375,18060500
2024-03-26,419.29425048828125,421.6499938964844,425.989990234375,421.3500061035156,425.6099853515625,16725600
2024-03-27,419.07550048828125,421.42999267578125,424.45001220703125,419.010009765625,424.44000244140625,16705000
2024-03-28,418.3694763183594,420.7200012207031,421.8699951171875,419.1199951171875,420.9599914550781,21871200
2024-04-01,422.197998046875,424.57000732421875,427.8900146484375,422.2200012207031,423.95001220703125,16316000
2024-04-02,419.0854797363281,421.44000244140625,422.3800048828125,417.8399963378906,420.1099853515625,17912000
2024-04-03,418.10101318359375,420.45001220703125,423.260009765625,419.0899963378906,419.7300109863281,16502300
2024-04-04,415.54534912109375,417.8800048828125,428.6700134277344,417.57000732421875,424.989990234375,19370900
2024-04-05,423.1426696777344,425.5199890136719,426.510009765625,418.32000732421875,420.010009765625,16544300
2024-04-08,422.2178649902344,424.5899963378906,427.2799987792969,423.29998779296875,425.1700134277344,14272400
2024-04-09,423.8984069824219,426.2799987792969,427.739990234375,421.6199951171875,426.44000244140625,12512300
2024-04-10,420.8952941894531,423.260009765625,424.0299987792969,419.70001220703125,422.19000244140625,16216600
2024-04-11,425.5392150878906,427.92999267578125,429.3699951171875,422.3599853515625,425.82000732421875,17966400
2024-04-12,419.54290771484375,421.8999938964844,425.17999267578125,419.7699890136719,424.04998779296875,19232100
2024-04-15,411.3290710449219,413.6400146484375,426.82000732421875,413.42999267578125,426.6000061035156,20273500
2024-04-16,412.2637939453125,414.5799865722656,418.3999938964844,413.7300109863281,414.57000732421875,16765600
2024-04-17,409.5390930175781,411.8399963378906,418.8800048828125,410.3299865722656,417.25,15855500
2024-04-18,402.0113830566406,404.2699890136719,411.8900146484375,403.95001220703125,410.6300048828125,21029900
2024-04-19,396.8901672363281,399.1199951171875,405.4800109863281,397.7699890136719,404.0299987792969,30276500
2024-04-22,398.7198791503906,400.9599914550781,402.8500061035156,395.75,400.0799865722656,20286900
2024-04-23,405.29296875,407.57000732421875,408.20001220703125,403.05999755859375,404.239990234375,15734500
2024-04-24,406.7746276855469,409.05999755859375,412.4700012207031,406.7799987792969,409.55999755859375,15065300
2024-04-25,396.81060791015625,399.0400085449219,399.8900146484375,388.0299987792969,394.0299987792969,40586500
2024-04-26,404.0499572753906,406.32000732421875,413.0,405.760009765625,412.1700134277344,29694700
2024-04-29,400.002685546875,402.25,406.32000732421875,399.19000244140625,405.25,19582100
2024-04-30,387.15484619140625,389.3299865722656,402.1600036621094,389.1700134277344,401.489990234375,28781400
2024-05-01,392.7335205078125,394.94000244140625,401.7200012207031,390.30999755859375,392.6099853515625,23562500
2024-05-02,395.6173095703125,397.8399963378906,399.92999267578125,394.6499938964844,397.6600036621094,17709400
2024-05-03,404.3880310058594,406.6600036621094,407.1499938964844,401.8599853515625,402.2799987792969,17446700
2024-05-06,411.2296142578125,413.5400085449219,413.92999267578125,406.3699951171875,408.760009765625,16996600
2024-05-07,407.0530700683594,409.3399963378906,414.6700134277344,409.0899963378906,414.6600036621094,20018200
2024-05-08,408.2463684082031,410.5400085449219,412.2300109863281,406.7099914550781,408.1700134277344,11792300
2024-05-09,410.01641845703125,412.32000732421875,412.7200012207031,409.1000061035156,410.57000732421875,14689700
2024-05-10,412.4228820800781,414.739990234375,415.3800048828125,411.79998779296875,412.94000244140625,13402300
2024-05-13,411.4085998535156,413.7200012207031,418.3500061035156,410.82000732421875,418.010009765625,15440200
2024-05-14,414.23272705078125,416.55999755859375,417.489990234375,411.54998779296875,412.0199890136719,15109300
2024-05-15,421.4751281738281,423.0799865722656,423.80999755859375,417.2699890136719,417.8999938964844,22239500
2024-05-16,419.3930969238281,420.989990234375,425.4200134277344,420.3500061035156,421.79998779296875,17530100
2024-05-17,418.61602783203125,420.2099914550781,422.9200134277344,418.0299987792969,422.5400085449219,15352200
2024-05-20,423.7265930175781,425.3399963378906,426.7699890136719,419.989990234375,420.2099914550781,16272100
2024-05-21,427.4125671386719,429.0400085449219,432.9700012207031,424.8500061035156,426.8299865722656,21453300
2024-05-22,428.8869323730469,430.5199890136719,432.4100036621094,427.1300048828125,430.0899963378906,18073700
2024-05-23,425.3802795410156,427.0,433.6000061035156,425.4200134277344,432.9700012207031,17211700
2024-05-24,428.5283203125,430.1600036621094,431.05999755859375,424.4100036621094,427.19000244140625,11845800
2024-05-28,428.68768310546875,430.32000732421875,430.82000732421875,426.6000061035156,429.6300048828125,15718000
2024-05-29,427.5420837402344,429.1700134277344,430.94000244140625,425.69000244140625,425.69000244140625,15517100
2024-05-30,413.0970764160156,414.6700134277344,424.29998779296875,414.239990234375,424.29998779296875,28424800
2024-05-31,413.5553283691406,415.1300048828125,416.75,404.510009765625,416.75,47995300
2024-06-03,411.951416015625,413.5199890136719,416.42999267578125,408.9200134277344,415.5299987792969,17484700
2024-06-04,414.49176025390625,416.07000732421875,416.44000244140625,409.67999267578125,412.42999267578125,14348900
2024-06-05,422.4016418457031,424.010009765625,424.0799865722656,416.29998779296875,417.80999755859375,16988000
2024-06-06,422.90966796875,424.5199890136719,425.30999755859375,420.5799865722656,424.010009765625,14861300
2024-06-07,422.24224853515625,423.8500061035156,426.2799987792969,423.0,426.20001220703125,13621700
2024-06-10,426.2469787597656,427.8699951171875,428.0799865722656,423.8900146484375,424.70001220703125,14003000
2024-06-11,431.0387268066406,432.67999267578125,432.82000732421875,425.25,425.4800109863281,14551100
2024-06-12,439.386962890625,441.05999755859375,443.3999938964844,433.25,435.32000732421875,22366200
2024-06-13,439.9049987792969,441.5799865722656,443.3900146484375,439.3699951171875,440.8500061035156,15960600
2024-06-14,440.8912353515625,442.57000732421875,443.1400146484375,436.7200012207031,438.2799987792969,13582000
2024-06-17,446.6692199707031,448.3699951171875,450.94000244140625,440.7200012207031,442.5899963378906,20790000
2024-06-18,444.6469421386719,446.3399963378906,450.1400146484375,444.8900146484375,449.7099914550781,17112500
2024-06-20,444.0093688964844,445.70001220703125,446.5299987792969,441.2699890136719,446.29998779296875,19877400
2024-06-21,448.0738830566406,449.7799987792969,450.5799865722656,446.510009765625,447.3800048828125,34486200
2024-06-24,445.971923828125,447.6700134277344,452.75,446.4100036621094,449.79998779296875,15913700
2024-06-25,449.23944091796875,450.95001220703125,451.4200134277344,446.75,448.25,16747500
2024-06-26,450.4448547363281,452.1600036621094,453.6000061035156,448.19000244140625,449.0,16507000
2024-06-27,451.1322326660156,452.8500061035156,456.1700134277344,451.7699890136719,452.17999267578125,14806300
2024-06-28,445.254638671875,446.95001220703125,455.3800048828125,446.4100036621094,453.07000732421875,28362300
